player,round,score,total,place,year,major,date,major_id,major_round,made_cut,liv,defect_date,post,sv_field,birthdate,age,event_time
Bernd Wiesberger,3,72.0,287.0,24.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,0,,0,0.7358490566037688,1985-10-08,32.498288843258045,
Bernd Wiesberger,4,72.0,287.0,24.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,0,,0,1.5094339622641542,1985-10-08,32.498288843258045,
Bernhard Langer,1,74.0,291.0,38.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,0,,0,0.20689655172414234,1957-08-27,60.61327857631759,
Bernhard Langer,2,74.0,291.0,38.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,0,,0,-0.5632183908045931,1957-08-27,60.61327857631759,
Bernhard Langer,3,71.0,291.0,38.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,0,,0,-0.26415094339623124,1957-08-27,60.61327857631759,
Bernhard Langer,4,72.0,291.0,38.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,0,,0,1.5094339622641542,1957-08-27,60.61327857631759,
Billy Horschel,1,76.0,155.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,0,0,,0,2.2068965517241423,1986-12-07,31.3347022587269,
Billy Horschel,2,79.0,155.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,0,0,,0,4.436781609195407,1986-12-07,31.3347022587269,
Billy Horschel,3,,155.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,0,0,,0,,1986-12-07,31.3347022587269,
Billy Horschel,4,,155.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,0,0,,0,,1986-12-07,31.3347022587269,
Branden Grace,1,73.0,287.0,24.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,1,2022-06-09,0,-0.7931034482758577,1988-05-20,29.883641341546884,-13.0
Branden Grace,2,73.0,287.0,24.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,1,2022-06-09,0,-1.5632183908045931,1988-05-20,29.883641341546884,-13.0
Branden Grace,3,74.0,287.0,24.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,1,2022-06-09,0,2.7358490566037688,1988-05-20,29.883641341546884,-13.0
Branden Grace,4,67.0,287.0,24.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,1,2022-06-09,0,-3.490566037735846,1988-05-20,29.883641341546884,-13.0
Brendan Steele,1,76.0,151.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,0,1,2023-02-01,0,2.2068965517241423,1983-02-04,35.17316906228611,-9.0
Brendan Steele,2,75.0,151.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,0,1,2023-02-01,0,0.4367816091954069,1983-02-04,35.17316906228611,-9.0
Brendan Steele,3,,151.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,0,1,2023-02-01,0,,1983-02-04,35.17316906228611,-9.0
Brendan Steele,4,,151.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,0,1,2023-02-01,0,,1983-02-04,35.17316906228611,-9.0
Brian Harman,1,73.0,292.0,44.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,0,,0,-0.7931034482758577,1987-01-19,31.21697467488022,
Brian Harman,2,74.0,292.0,44.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,0,,0,-0.5632183908045931,1987-01-19,31.21697467488022,
Brian Harman,3,76.0,292.0,44.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,0,,0,4.735849056603769,1987-01-19,31.21697467488022,
Brian Harman,4,69.0,292.0,44.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,0,,0,-1.4905660377358458,1987-01-19,31.21697467488022,
Bryson DeChambeau,1,74.0,291.0,38.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,1,2022-06-30,0,0.20689655172414234,1993-09-16,24.55852156057495,-17.0
Bryson DeChambeau,2,74.0,291.0,38.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,1,2022-06-30,0,-0.5632183908045931,1993-09-16,24.55852156057495,-17.0
Bryson DeChambeau,3,72.0,291.0,38.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,1,2022-06-30,0,0.7358490566037688,1993-09-16,24.55852156057495,-17.0
Bryson DeChambeau,4,71.0,291.0,38.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,1,2022-06-30,0,0.5094339622641542,1993-09-16,24.55852156057495,-17.0
Bubba Watson,1,73.0,142.0,8.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,1,2022-07-29,0,-0.7931034482758577,1978-11-05,39.422313483915126,-16.0
Bubba Watson,2,69.0,142.0,8.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,1,2022-07-29,0,-5.563218390804593,1978-11-05,39.422313483915126,-16.0
Bubba Watson,3,68.0,210.0,6.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,1,2022-07-29,0,-3.2641509433962312,1978-11-05,39.422313483915126,-16.0
Bubba Watson,4,69.0,279.0,5.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,1,2022-07-29,0,-1.4905660377358458,1978-11-05,39.422313483915126,-16.0
Cameron Smith,1,71.0,279.0,5.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,1,2022-09-02,0,-2.7931034482758577,1993-08-18,24.637919233401778,-19.0
Cameron Smith,2,72.0,279.0,5.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,1,2022-09-02,0,-2.563218390804593,1993-08-18,24.637919233401778,-19.0
Cameron Smith,3,70.0,279.0,5.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,1,2022-09-02,0,-1.2641509433962312,1993-08-18,24.637919233401778,-19.0
Cameron Smith,4,66.0,279.0,5.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,1,2022-09-02,0,-4.490566037735846,1993-08-18,24.637919233401778,-19.0
Charl Schwartzel,1,72.0,150.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,0,1,2022-06-09,0,-1.7931034482758577,1984-08-31,33.60164271047228,-12.0
Charl Schwartzel,2,78.0,150.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,0,1,2022-06-09,0,3.436781609195407,1984-08-31,33.60164271047228,-12.0
Charl Schwartzel,3,,150.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,0,1,2022-06-09,0,,1984-08-31,33.60164271047228,-12.0
Charl Schwartzel,4,,150.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,0,1,2022-06-09,0,,1984-08-31,33.60164271047228,-12.0
Charley Hoffman,1,69.0,142.0,8.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,0,,0,-4.793103448275858,1976-12-27,41.27857631759069,
Charley Hoffman,2,73.0,142.0,8.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,0,,0,-1.5632183908045931,1976-12-27,41.27857631759069,
Charley Hoffman,3,73.0,282.0,12.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,0,,0,1.7358490566037688,1976-12-27,41.27857631759069,
Charley Hoffman,4,67.0,282.0,12.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,0,,0,-3.490566037735846,1976-12-27,41.27857631759069,
Chez Reavie,1,76.0,298.0,53.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,0,,0,2.2068965517241423,1981-11-12,36.40246406570842,
Chez Reavie,2,71.0,298.0,53.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,0,,0,-3.563218390804593,1981-11-12,36.40246406570842,
Chez Reavie,3,75.0,298.0,53.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,0,,0,3.7358490566037688,1981-11-12,36.40246406570842,
Chez Reavie,4,76.0,298.0,53.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,0,,0,5.509433962264154,1981-11-12,36.40246406570842,
Daniel Berger,1,73.0,289.0,32.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,0,,0,-0.7931034482758577,1993-04-07,25.00205338809035,
Daniel Berger,2,74.0,289.0,32.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,0,,0,-0.5632183908045931,1993-04-07,25.00205338809035,
Daniel Berger,3,71.0,289.0,32.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,0,,0,-0.26415094339623124,1993-04-07,25.00205338809035,
Daniel Berger,4,71.0,289.0,32.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,0,,0,0.5094339622641542,1993-04-07,25.00205338809035,
Danny Willett,1,75.0,151.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,0,0,,0,1.2068965517241423,1987-10-03,30.51334702258727,
Danny Willett,2,76.0,151.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,0,0,,0,1.4367816091954069,1987-10-03,30.51334702258727,
Danny Willett,3,,151.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,0,0,,0,,1987-10-03,30.51334702258727,
Danny Willett,4,,151.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,0,0,,0,,1987-10-03,30.51334702258727,
Doc Redman,1,76.0,153.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,0,0,,0,2.2068965517241423,1997-12-27,20.279260780287473,
Doc Redman,2,77.0,153.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,0,0,,0,2.436781609195407,1997-12-27,20.279260780287473,
Doc Redman,3,,153.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,0,0,,0,,1997-12-27,20.279260780287473,
Doc Redman,4,,153.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,0,0,,0,,1997-12-27,20.279260780287473,
Doug Ghim,1,72.0,296.0,50.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,0,,0,-1.7931034482758577,1996-04-16,21.976728268309376,
Doug Ghim,2,76.0,296.0,50.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,0,,0,1.4367816091954069,1996-04-16,21.976728268309376,
Doug Ghim,3,74.0,296.0,50.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,0,,0,2.7358490566037688,1996-04-16,21.976728268309376,
Doug Ghim,4,74.0,296.0,50.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,0,,0,3.509433962264154,1996-04-16,21.976728268309376,
Dustin Johnson,1,73.0,141.0,6.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,1,2022-06-09,0,-0.7931034482758577,1984-06-22,33.79329226557152,-17.0
Dustin Johnson,2,68.0,141.0,6.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,1,2022-06-09,0,-6.563218390804593,1984-06-22,33.79329226557152,-17.0
Dustin Johnson,3,71.0,281.0,10.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,1,2022-06-09,0,-0.26415094339623124,1984-06-22,33.79329226557152,-17.0
Dustin Johnson,4,69.0,281.0,10.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,1,2022-06-09,0,-1.4905660377358458,1984-06-22,33.79329226557152,-17.0
Dylan Frittelli,1,77.0,151.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,0,0,,0,3.2068965517241423,1990-06-05,27.84120465434634,
Dylan Frittelli,2,74.0,151.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,0,0,,0,-0.5632183908045931,1990-06-05,27.84120465434634,
Dylan Frittelli,3,,151.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,0,0,,0,,1990-06-05,27.84120465434634,
Dylan Frittelli,4,,151.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,0,0,,0,,1990-06-05,27.84120465434634,
Francesco Molinari,1,72.0,286.0,20.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,0,,0,-1.7931034482758577,1982-11-08,35.41409993155373,
Francesco Molinari,2,74.0,286.0,20.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,0,,0,-0.5632183908045931,1982-11-08,35.41409993155373,
Francesco Molinari,3,70.0,286.0,20.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,0,,0,-1.2641509433962312,1982-11-08,35.41409993155373,
Francesco Molinari,4,70.0,286.0,20.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,0,,0,-0.49056603773584584,1982-11-08,35.41409993155373,
Fred Couples,1,72.0,291.0,38.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,0,,0,-1.7931034482758577,1959-10-03,58.51334702258727,
Fred Couples,2,74.0,291.0,38.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,0,,0,-0.5632183908045931,1959-10-03,58.51334702258727,
Fred Couples,3,73.0,291.0,38.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,0,,0,1.7358490566037688,1959-10-03,58.51334702258727,
Fred Couples,4,72.0,291.0,38.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,0,,0,1.5094339622641542,1959-10-03,58.51334702258727,
Gary Woodland,1,78.0,154.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,0,0,,0,4.206896551724142,1984-05-21,33.880903490759756,
Gary Woodland,2,76.0,154.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,0,0,,0,1.4367816091954069,1984-05-21,33.880903490759756,
Gary Woodland,3,,154.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,0,0,,0,,1984-05-21,33.880903490759756,
Gary Woodland,4,,154.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,0,0,,0,,1984-05-21,33.880903490759756,
Harry Ellis,1,86.0,166.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,0,0,,0,12.206896551724142,1982-05-17,35.893223819301845,
Harry Ellis,2,80.0,166.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,0,0,,0,5.436781609195407,1982-05-17,35.893223819301845,
Harry Ellis,3,,166.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,0,0,,0,,1982-05-17,35.893223819301845,
Harry Ellis,4,,166.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,0,0,,0,,1982-05-17,35.893223819301845,
Henrik Stenson,1,69.0,139.0,3.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,0,,0,-4.793103448275858,1976-04-05,42.00684462696783,
Henrik Stenson,2,70.0,139.0,3.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,0,,0,-4.563218390804593,1976-04-05,42.00684462696783,
Henrik Stenson,3,70.0,209.0,5.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,0,,0,-1.2641509433962312,1976-04-05,42.00684462696783,
Henrik Stenson,4,70.0,279.0,5.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,0,,0,-0.49056603773584584,1976-04-05,42.00684462696783,
Hideki Matsuyama,1,73.0,285.0,19.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,0,,0,-0.7931034482758577,1992-02-25,26.116358658453116,
Hideki Matsuyama,2,71.0,285.0,19.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,0,,0,-3.563218390804593,1992-02-25,26.116358658453116,
Hideki Matsuyama,3,72.0,285.0,19.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,0,,0,0.7358490566037688,1992-02-25,26.116358658453116,
Hideki Matsuyama,4,69.0,285.0,19.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,0,,0,-1.4905660377358458,1992-02-25,26.116358658453116,
Ian Poulter,1,74.0,292.0,44.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,1,2022-06-09,0,0.20689655172414234,1976-01-10,42.24229979466119,-16.0
Ian Poulter,2,75.0,292.0,44.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,1,2022-06-09,0,0.4367816091954069,1976-01-10,42.24229979466119,-16.0
Ian Poulter,3,74.0,292.0,44.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,1,2022-06-09,0,2.7358490566037688,1976-01-10,42.24229979466119,-16.0
Ian Poulter,4,69.0,292.0,44.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,1,2022-06-09,0,-1.4905660377358458,1976-01-10,42.24229979466119,-16.0
Ian Woosnam,1,79.0,155.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,0,0,,0,5.206896551724142,1958-03-02,60.101300479123886,
Ian Woosnam,2,76.0,155.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,0,0,,0,1.4367816091954069,1958-03-02,60.101300479123886,
Ian Woosnam,3,,155.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,0,0,,0,,1958-03-02,60.101300479123886,
Ian Woosnam,4,,155.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,0,0,,0,,1958-03-02,60.101300479123886,
Jason Day,1,75.0,286.0,20.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,0,,0,1.2068965517241423,1987-11-12,30.403832991101986,
Jason Day,2,71.0,286.0,20.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,0,,0,-3.563218390804593,1987-11-12,30.403832991101986,
Jason Day,3,69.0,286.0,20.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,0,,0,-2.2641509433962312,1987-11-12,30.403832991101986,
Jason Day,4,71.0,286.0,20.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,0,,0,0.5094339622641542,1987-11-12,30.403832991101986,
Jason Dufner,1,73.0,150.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,0,0,,0,-0.7931034482758577,1977-03-24,41.040383299110196,
Jason Dufner,2,77.0,150.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,0,0,,0,2.436781609195407,1977-03-24,41.040383299110196,
Jason Dufner,3,,150.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,0,0,,0,,1977-03-24,41.040383299110196,
Jason Dufner,4,,150.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,0,0,,0,,1977-03-24,41.040383299110196,
Jhonattan Vegas,1,77.0,291.0,38.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,0,,0,3.2068965517241423,1984-08-19,33.634496919917865,
Jhonattan Vegas,2,69.0,291.0,38.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,0,,0,-5.563218390804593,1984-08-19,33.634496919917865,
Jhonattan Vegas,3,72.0,291.0,38.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,0,,0,0.7358490566037688,1984-08-19,33.634496919917865,
Jhonattan Vegas,4,73.0,291.0,38.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,0,,0,2.509433962264154,1984-08-19,33.634496919917865,
Jimmy Walker,1,73.0,286.0,20.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,0,,0,-0.7931034482758577,1979-01-16,39.22518822724162,
Jimmy Walker,2,71.0,286.0,20.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,0,,0,-3.563218390804593,1979-01-16,39.22518822724162,
Jimmy Walker,3,71.0,286.0,20.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,0,,0,-0.26415094339623124,1979-01-16,39.22518822724162,
Jimmy Walker,4,71.0,286.0,20.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,0,,0,0.5094339622641542,1979-01-16,39.22518822724162,
Joaquin Niemann,1,76.0,153.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,0,1,2022-09-02,0,2.2068965517241423,1998-11-07,19.416837782340863,-14.0
Joaquin Niemann,2,77.0,153.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,0,1,2022-09-02,0,2.436781609195407,1998-11-07,19.416837782340863,-14.0
Joaquin Niemann,3,,153.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,0,1,2022-09-02,0,,1998-11-07,19.416837782340863,-14.0
Joaquin Niemann,4,,153.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,0,1,2022-09-02,0,,1998-11-07,19.416837782340863,-14.0
Jon Rahm,1,75.0,208.0,4.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,1,2023-12-07,0,1.2068965517241423,1994-11-10,23.408624229979466,-23.0
Jon Rahm,2,68.0,208.0,4.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,1,2023-12-07,0,-6.563218390804593,1994-11-10,23.408624229979466,-23.0
Jon Rahm,3,65.0,208.0,4.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,1,2023-12-07,0,-6.264150943396231,1994-11-10,23.408624229979466,-23.0
Jon Rahm,4,69.0,277.0,4.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,1,2023-12-07,0,-1.4905660377358458,1994-11-10,23.408624229979466,-23.0
Jordan Spieth,1,66.0,140.0,4.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,0,,0,-7.793103448275858,1993-07-27,24.698151950718685,
Jordan Spieth,2,74.0,140.0,4.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,0,,0,-0.5632183908045931,1993-07-27,24.698151950718685,
Jordan Spieth,3,71.0,211.0,9.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,0,,0,-0.26415094339623124,1993-07-27,24.698151950718685,
Jordan Spieth,4,64.0,275.0,3.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,0,,0,-6.490566037735846,1993-07-27,24.698151950718685,
José María Olazábal,1,74.0,150.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,0,0,,0,0.20689655172414234,1966-02-05,52.16974674880219,
José María Olazábal,2,76.0,150.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,0,0,,0,1.4367816091954069,1966-02-05,52.16974674880219,
José María Olazábal,3,,150.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,0,0,,0,,1966-02-05,52.16974674880219,
José María Olazábal,4,,150.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,0,0,,0,,1966-02-05,52.16974674880219,
Justin Rose,1,72.0,142.0,8.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,0,,0,-1.7931034482758577,1980-07-30,37.68925393566051,
Justin Rose,2,70.0,142.0,8.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,0,,0,-4.563218390804593,1980-07-30,37.68925393566051,
Justin Rose,3,71.0,282.0,12.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,0,,0,-0.26415094339623124,1980-07-30,37.68925393566051,
Justin Rose,4,69.0,282.0,12.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,0,,0,-1.4905660377358458,1980-07-30,37.68925393566051,
Justin Thomas,1,74.0,141.0,6.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,1,0,,0,0.20689655172414234,1993-04-29,24.941820670773442,
Justin Thomas,2,67.0,141.0,6.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,1,0,,0,-7.563218390804593,1993-04-29,24.941820670773442,
Justin Thomas,3,70.0,211.0,9.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,1,0,,0,-1.2641509433962312,1993-04-29,24.941820670773442,
Justin Thomas,4,73.0,284.0,17.0,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R4,1,0,,0,2.509433962264154,1993-04-29,24.941820670773442,
Kevin Chappell,1,77.0,153.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R1,0,0,,0,3.2068965517241423,1986-07-08,31.750855578370977,
Kevin Chappell,2,76.0,153.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R2,0,0,,0,1.4367816091954069,1986-07-08,31.750855578370977,
Kevin Chappell,3,,153.0,,2018,Masters,2018-04-08,2018-Masters,2018-Masters-R3,0,0,,0,,1986-07-08,31.750855578370977,
